word_1,word_2,distance
gieter met handvat,pin door kopje,0.414176
ronde neus hoofd,grote ronde neus,0.0844492
spijker arm poppetje,vangrail en dienblad,0.274674
poppetje met vlechtjes,ketting,0.371741
een benig rond hoofdig poppetje,bol persoon,0.380782
dj langwerpige neus,pinokkio met ogen,0.305474
cactus plant met uitsteeksels,kaars met armen,0.345706
geblokte armen antenne,antenne en blokken,0.252917
mannetje met feestmuts,feestmuts,0.175724
standbeeld op statief,standbeeld,0.264655
vogel met beentjes,vogeltje,0.269639
recht balkje mouwtjes,blok en mouwtje,0.230204
appel met stamper,appel met stampertje,0.11237
schuin bakje tafel,dienblad,0.281916
springend hondje,hondje,0.171289
steelpannetje met lepel,steelpan,0.148549
balk door lichaam,staaf en vierkant,0.381738
schuine kegel rondje,kegel en balk,0.161283
spijker rails rondje,spijker in vangrail,0.170868
twee kralen armpjes,kraaltjes,0.169128
cirkel armpjes balk,mens aan paal,0.387092
langwerpige neus handje,lange neus,0.169402
cactus met uitsteeksels,cactus,0.299649
verrekijker met antenne,vierkant vlak rechts,0.466958
driehoek bovenop,driehoek bovenop,0.0
stromend waterstraaltje,twist driehoek onderkant,0.498845
stopcontact rechts,twee rechthoeken rechts,0.323955
mini glijbaan links,liggende balk bovenop,0.444321
neuspiercing plukje haar,balk door ei,0.424087
stoel tafel bakje,trapezium op dienblad,0.274204
uitsteeksel beneden rechts,staart onderkant,0.226114
omgekeerde druppel ondersteuning,schijf achter bovenkant,0.358829
uitsteeksels met bolletjes uiteinden,handvat links achter,0.319349
bolletjes neus oor haartjes,ei midden rechts,0.338551
spijker rechts plateautje,horizontale schijf rechts,0.219971
kralenketting horizontaal,staat op rechthoek,0.30801
mand eitjes pilaar,staande balk voorkant,0.374116
links arm slurf,twee cilinders bovenop,0.40058
enkele verrekijker,omgekeerde kegel bovenop,0.481786
twee verrekijkers,verrekijkers,0.113248
driehoek bovenop,driehoek bovenop,0.0
twirl,driehoekige voet,0.766343
stekker,stekker,0.0
nikszeggend balkje bovenop,nietszeggend balk bovenop,0.128798
neuspiercing,neuspiercing,1.78814e-07
tafeltje met soepkom,dienblad,0.217711
olifantje,olifant,0.264014
stokje links staartje,halve cirkel achterkant,0.314415
theekan,theepot,0.274341
neus twee antennes,rondje voor,0.471572
plateau met trompet,toeter,0.482074
staartjes,staartjes,0.0
paal aan voorkant,balk voorkant,0.260551
slurf plaat erdoorheen,vlak door basisfiguur,0.36108
een verrekijker,kegel boven zijkant,0.455717
spion met verrekijker,groot vierkant aangeplakt,0.514659
misvormd puntig gezicht,een driehoek boven,0.470887
juichend persoon,lange poot driehoek,0.504025
angry bird vogel,twee balkjes rechts,0.610184
stokstijf persoon,klein balkje schuin voor,0.377479
gezicht met neuspiercing,beker gezicht met neusring,0.179258
kruiwagen met bakje,hoog tafeltje,0.415662
robot op eenwieler,boven dubbel rechthoekig vierkant,0.570862
pinokkio toilet,uitstekende cirkel achter,0.566038
watergieter,gieter zonder handvat,0.475657
clown ronde neus,grote ei neus,0.208117
drukpers met plankje,schuine cirkel voor,0.346385
drilboor met handvaten,platte rond voor,0.365374
waterpomp met bal,lange balk voor,0.363893
stofzuiger door grond,slurf op vierkant,0.400792
stuurwiel van schepen,worm en vierkant,0.429429
spion,vierkant voor,0.652272
vreemde vis,afgesneden piramide neus,0.491102
juichend persoon,driehoek staander beneden,0.544659
angry bird,angry bird,-1.19209e-07
stokstijf persoon hanekam,balkje in hand,0.317013
neuspiercing,neuspiercing,1.78814e-07
kruiwagen,hoge kruiwagen,0.182705
robot op eenwieler,raampjes op hoofd,0.397804
pinokkio,pinokkio links neus,0.282812
gieter,gieter,0.0
clown ronde neus,ei neus voor,0.246058
drukpers met hendel,lange hendel linksboven,0.21978
pippi langkous,pippi langkous staartjes,0.0409889
waterpomp met bal,open armen,0.463028
stofzuiger slurf,slurf op vierkant,0.309415
pier in appel,wormpje achterkant pot,0.435869
verrekijker,vierkant aan voorkant,0.585013
feesthoedje,soort kegel bovenkant,0.370068
tulp op driehoek,vierkant bovenop,0.308811
f vorm,rechts twee balkjes,0.521389
pinguin,rechthoek op bovenkant,0.526012
doorboorde neus,bol met rechthoek,0.439909
tafel met kom,tafeltje met schaaltje,0.217057
karate trap,dunne cilinder voorkant,0.580776
beker met citroen schijf,links cilinder,0.390141
armen en rugzak,staaf met bol,0.372204
neus en vulpen,alleen bol voorkant,0.275759
rond dienblad,omgekeerde kleine pion,0.501399
gootsteen met ketting,vierkant als ondergrond,0.336282
armen en ei,bol op bovenkant,0.310792
doorgesneden pot,dikke cilinder voorkant,0.348056
propellor,twee ovaalvormige cillinders,0.410664
verrekijker met paddestoel,robot,0.450776
feesthoed met potloodpunt,feesthoed met potlood,0.0966684
tulp op driehoek,tulp,0.213082
f vorm,f,0.175262
pinguin,vogel,0.395312
doorboorde neus,doorgeboorde neus,0.120552
tafel met schaaltje,tafel met schaaltje,1.78814e-07
karate trap,pinokkio neus,0.450346
beker met citroen schijf,citroentje,0.323219
vliegtuig vleugels rugzak,vleugels,0.230778
vulpen en neus,neus en pen,0.095386
omgekeerde pion,omgekeerde pion,0.0
gootsteen met kraaltjes,plateau met kraaltjes,0.176035
armen en ei,ei met armpjes,0.110068
doorboord snijplank slurf,slurf,0.236205
propellor met staart,propellor,0.167716
antenne en vierkant,vierkante plaat vooraan,0.228383
boven punt driehoek,driehoek bovenop,0.115078
scheve stengel wijnglas,wokkel en blokken,0.451446
hoedje twee balkjes,twee blokjes rechts,0.146757
vleugels vierkant bovenuit,paaltje en blokken,0.32176
pilaar door bolletje,heeft een ontstopper,0.444861
tafel door kopje,hoge tafel,0.277931
spijker door vierkant,wasbak met kraan,0.389696
potlood door kopje,ronde schijf achter,0.422463
staaf door kopje,springplank achteraan,0.583377
speer staaf neus,neus en antennes,0.282648
spijker door arm,rond bijzettafeltje,0.543102
kopje op platform,staat op vierkant,0.293382
pilaar bol armpjes,bal bovenop,0.251028
platform door kopje,glijbaan en haak,0.478263
plantenbak vierkante arm,ronde pijp achteruit,0.38339
antenne vierkant voor,vierkante plaat voor,0.23656
raar blok driehoeks punt,punt bovenop,0.226921
wijnglas,wijnglas,5.96046e-08
deksel twee uitsteeksels,identieke blokjes rechts,0.260809
spaceship met huisje,ruimteschip en gebouw,0.269947
neuspiercing,neus met piercing,0.324785
tafel met kopje,tafel met bakje,0.0869675
wasbak doorgeprikt vierkant,wasbak met kraan,0.208941
potlood cirkel lepel,ronde schijf achter,0.373532
achterklep stangen,springplank achter,0.663744
geen piercing hoofd,neus zonder piercing,0.114757
spijker bijtafel,spijker en bijzettafel,0.127473
plaat circkel sprieten,plateau en sprieten,0.254239
poppetje met balk,bal bovenop,0.314008
middel platform glijbaan,glijbaan en haak,0.226427
vierkanten twee stengels,pijp achter,0.496047
groot vierkant voorkant,robot met antenna,0.502298
feestmuts en wielen,driehoek op kop,0.330976
draaiend wijnglas,wijnglas,0.140459
eend met uitlaat,is teken rechts,0.442195
liggende balk bovenop,neus vormige neus links,0.341885
staaf door ei,lepel zuignap handvat,0.275324
halve tafel poten,twee potige tafel,0.234478
meeste balken uitsteeksels,ruit met handvaten,0.395039
ronde plaat achterkant,pinokkio,0.693443
lange korte vlaggenmast,niks aan voorkant,0.475826
balken voorkant ei,lepel balvormig handvat,0.229349
links uitstekende nier,spijker in handvat,0.39002
twee strengen vierkantjes,kop met schotel,0.459856
lange balk voorkant,bal kom balk,0.246203
olifanten slurf twee schoorstenen,kop door schotel,0.415558
twee dichte parasols,twee deegroller handvaten,0.407945
robot,robot,0.0
feestmuts,feesthoedje,0.215372
wijnglas,wijnglas,5.96046e-08
is teken,flappy bird is,0.509122
neus met balk,neus met balk,5.96046e-08
zuignap,zuignap,0.0
bijzet tafel poten,tafel twee poten,0.121815
kraan,kraan,1.19209e-07
pinokkio,pinokkio,0.0
andere lengte uitsteeksels,twee oneven handvaten,0.299581
theelepel ei neus,zuignap zonder zuignap,0.473669
spijker bijzettafel,spijker bijzettafel,0.0
drie vierkantjes,vierkantjes met schotel,0.195186
fietsmand,fietsmand met bal,0.168796
slurf vierkant doorheen,slurf,0.191874
deegrollers,deegroller en minecraft,0.278385
vierkant ervoor,paddenstoeltje bovenop,0.392238
puntige driehoek bovenop,puntige driehoek bovenop,0.0
driehoekige gedraaide verhoging,langwerpig kubus driehoek,0.251857
twee strepen zijkant,afgevlakte driehoek bovenop,0.276082
horizontale staaf bovenop,balk bovenop compact,0.256311
staaf door bolletje,staaf door bolletje,-1.19209e-07
horizontale plank ervoor,tafel twee pootjes,0.274109
ruit bovenop,haakjes zijkant onder,0.33526
halve cirkel achterkant,verborgen cirkel achter,0.229496
zeshoekige staaf bolletjes,staaf door kopje,0.26887
kegel staaf bovenop,bol aan voorkant,0.279224
horizontale cirkel schijf,rond plateautje zijkant,0.281901
diamant stengels zijkanten,op plateau staand,0.425697
verticale langwerpige staaf,bol bovenop,0.267098
halverwege door vierkant,vierkant door midden,0.0685971
groeiend vierkant voorop,afgeronde staaf bovenop,0.377301
paddenstoel vorm bovenop,paddenstoel,0.199435
scherpe driehoeks punt bovenop,puntig driehoek boven,0.231196
gedraaide staaf onderaan,spiraal mannetje,0.276947
stompe punt bovenop,vogel,0.57763
horizontale balk bovenop,andere vogel,0.562327
staaf door bolletje,bolletje staaf doorheen,0.0632333
horizontale plank ervoor,tafel twee pootjes,0.274109
doorgestoken ruit bovenop,diamant bovenkant,0.423519
half rondje erachter,halve cirkel achter,0.2675
ovaaltjes op staaf uiteinde,gieter,0.521062
volledig balletje voorop,omgekeerde kegel bovenkant,0.431231
horizontale ronde schijf,horizontaal rond plateau,0.371123
diamanten bovenop plaat,plateau diamantjes,0.271941
verticale balk ervoor,verticale vierkante staaf,0.303887
vierkant horizontaal doorheen,vierkant dwars midden,0.151844
groeiend vierkant zijkant,twee pluimen,0.371925
schoorsteen op kopje,twee vierkante schroeven,0.445044
punt bovenop kopje,grote driehoek bovenop,0.219143
driehoekig pootje,spiraal staart,0.279858
rechts twee balkjes,trapezium bovenop,0.28616
balkje op kopje,horizontale balk bovenop,0.290051
houder met zuignap,neuspiercing bolletje,0.447535
steun balkjes rondom kopje,rekje met bakje,0.311008
tuitje onderaan kopje,schroef oren staart,0.36726
achthoekig handvat links,rondje achter,0.464354
lange horizontale staaf,twee ronde schroeven,0.29307
punt staafje in kopje,pen balletje,0.256322
spijker op handvat,spuit in arm,0.327136
ruitjes aan weerszijden,diamanten armen ondergrond,0.362891
rechthoekige poot rechts,verticale balk voorkant,0.183707
vierkant snijdt kopje,plaat als rokje,0.334716
drie verschillende handvaten,vier langwerpige armen,0.265781
kopje met schoorsteentje,paddestoel twee schroeven,0.290158
piramidedak en wijnflesje,boven piramide wijnfles,0.297401
wijnglas,wijnglas driehoek statief,0.206348
kluisdeur met deurklink,deurklink halve driehoek,0.22654
koffie tuitje en rechthoek,koffie tuitje horizontale balk,0.0950651
beker met zuignap,zuignap stokje,0.2158
kuipje bovenop balk,plankje met bakje,0.216399
tuitje aan onderkant,onderaan tuitje ruit,0.156111
ovale onderkant,ovale statief lepel,0.177431
lange horizontale cilinder,twee ongelijke knoppen,0.26437
twee verschillende roerstaafjes,pen rond balletje,0.411595
spijker en dienblaadje,dienblad spijker arm,0.154455
zes diamantjes ondergrond,diamanten staartjes,0.319505
waterpomp achtig met standaard,waterpomp,0.263849
glijbaan en armpje,armpje twee staafjes,0.247188
drie handvaten,twee dezelfde armpjes,0.243994
twee uitdijende kubussen,plat vierkant voorkant,0.373736
driehoek bovenop,feesthoedje bovenop,0.18648
wokkel onderaan,driehoek onderkant,0.306309
twee uitstekende rechthoekjes rechts,rechts twee rechthoekjes,0.0732474
liggende rechthoek bovenop,horizontale staaf bovenop,0.129941
mini pluimpje linksboven,staaf door bol,0.451349
uitstekend tafeltje,vierhoek kubus ondersteboven,0.541972
doorgestoken ruit bovenop,twee ruitjes boven,0.2342
gedeeltelijke cirkel achterkant,platte schijf achter,0.283168
achterzijde uitstekende klep,bolletjes aan steel,0.392395
vier verschillende uitsteeksels,bol drie stekels,0.142614
links uitsteeksel omhoog,horizontale schijf rechts,0.225615
platte cirkel voorop,drie bolletjes zijkanten,0.298015
ovaal bol bovenop,vierhoekige staaf voorkant,0.17598
identieke mini staafjes bovenop,groot vierkant doormidden,0.306841
uitdijende kubus rechterzijde,twee grote kegels,0.318221
paddenstoel bovenop,paddestoel,0.255468
driekhoek bovenop,driehoek wolkje,0.306262
wokkel schroef,schroef,0.096211
afgesneden piramide bovenop,rechts twee rechthoekjes,0.294979
lampenkap zijkant,lampenkap,0.109174
bol staaf erdoorheen,staaf door bol,0.0770625
tafeltje,tafel,0.163819
ruiten uitstulpende kubussen,twee ruitjes,0.218543
keukenmachine,keukenmachine,0.0
zout potjes,zout potjes,1.19209e-07
drie uitsteeksels en bol,bol drie stekels,0.0620648
toef met vierkant bovenop,platte schijf,0.3943
zes dingetjes,zes bolletjes,0.181392
rechthoek vooraan geplakt,rechthoekige staaf verticaal,0.21587
links l vorm,l,0.230702
twee identieke pluimen,boven zijkant stekel,0.368943
dun rechtopstaand vierkant,twee armen,0.43988
piramide bovenop,punthoofd,0.644185
driehoek helemaal onderaan,ijscoupe,0.516734
vierkantjes rechterzijkant,gedraaid varkentje,0.337477
brede staaf bovenkant,brievenbus,0.651256
zuignap koffielepel schuin,neuspiercing,0.442311
dienblad bij bovenkant,kopje schapje bakje,0.255976
driehoek met aanhangsel,pinokkio,0.771936
smalle ronde onderkant,koekje in koffie,0.563527
lijkt op gieter,fotolijstje honkbalknuppel,0.416644
driehoekig uitsteeksel zijkant,kop koffie ei,0.513604
oorvormig uitsteeksel zijkant,prullenbak bezem,0.59274
vierkante onderzetter,twee staartjes,0.625691
bol bovenop,bal kopje balk,0.332227
vierkant rond midden,stekker,0.643246
rechtopstaande brede koffielepel,theepot met uitsteeksel,0.252205
robotarmen,robotarmen spijker,0.171222
punthoed,punthoofd blok neus,0.428468
ijscoupe,ijscoupe,-2.38419e-07
varkentje,varkentje gedraaid,0.171927
broodrooster,broodrooster,-2.38419e-07
zuignap,spijker neus,0.403556
dienblad bakblik,schapje poten bakje,0.223344
biscuitje,ruitvormig koekje robotarmen,0.300894
koffiekoekje,koekje in koffie,0.243811
gieter,gieter,0.0
ei voorkant,twee lepels ei,0.212095
oor,oor dienblad,0.173639
spiraal vlechtjes,vlechtjes ronde neus,0.154334
ei bovenop,ei kopje balk,0.210572
stekkertje bovenop,stekker,0.280669
slurf,vier verdeelde uitsteeksels,0.439537
twee legoblokken links,verticaal vierkant voorkant,0.363657
puntige piramide bovenop,driehoek achter kogel,0.314926
driehoek eronder hangend,gedraaid uitsteeksel onder,0.290892
afgeplatte conus bovenop,is aan zijkant,0.411079
platliggende rechthoek bovenop,lang balkje bovenop,0.236217
rechthoek door bol,staaf door neus,0.250834
bezet plateau rechtsboven,tafeltje omgekeerde pyramide,0.362064
iss achterop boven,verticaal ruit uitsteeksels,0.435201
halfronde schijf bovenop,lepel plat rondje,0.302033
strandstoel linksboven,zonnepaneel knuppel achter,0.420634
rechthoek rechtop bovenop,bolle neus lepels,0.287582
trompet linksboven,horizontaal rondje zijkant,0.437621
confetti slinger erachter,drie bolletjes zijkant,0.315574
bol bovenop,bol bovenop,1.19209e-07
vierkant minirokje,horizontaal snijvlak erdoorheen,0.340301
legoblok rechts,handvaten bovenop zijkant,0.309262
twee legoblokken links,twee lego's vierkant,0.200539
piramide bovenop,pyramide kogel eend,0.375173
draaiing naar driehoek,gedraaid uitsteeksel onderaan,0.30881
is teken,afgekapte pyramide is,0.321556
platliggend balkje bovenop,balkje bovenop,0.0311733
kannibaal met piercing,kannibaal inboorling piercing,0.11455
plateau met pootjes,plank tafel pyramide,0.306708
iss bovenop,spacestation arm onder,0.441943
half rondje achterop,rondje achter kwart,0.100699
honkbalknuppel met strandstoel,knuppel strandstoel zonnepaneel,0.180107
kannibaal zonder piercing,neus kwast rechthoek,0.394641
hartje met toeter,hartjesvorm toeter rondje,0.143492
op een plateau,plateau slinger schoteltje,0.248818
armpjes met bol,bol bovenop staaf,0.212597
glijbaan en snijvlak,snijvlak glijbaan vierkant,0.0783888
regenpijp links,lego twee handvaten,0.492795
blokken armpjes vierkant,vierkant blauw rond,0.274325
tent trapezium cirkel,punt hoekig ovaal,0.237971
taartpunt blok schroef,beker op driehoek,0.385253
is tekentje hoedje pinokkio,twee rechthoeken streepje,0.393646
rechthoek tuit schep,complexe voorkant,0.478331
lantaarnpaal ei heft,stokje met rondjes,0.332954
picknickbankje piemeltje trapezium,rechthoekig frame,0.37979
pinokkio ploeg linkerarm,ruiten vierkantjes haak,0.46588
pinokkio cirkel heft,hendel schijf,0.497901
gieter vierkant handvat,gieter scherm schuin,0.18384
vulpen lineaal ei,bak ruit,0.331974
bleekselderij cirkel spijker,spijker hendel rond,0.273078
platform kralen armpjes,zes rondjes boogje,0.391715
omarming ei pilaar,balletje hangende bak,0.30985
glijbaan hoek platform,pijp vierkant omringd,0.365723
negen uur blok,ovaal veel vierkantjes,0.442448
blokjes piramides spijker,spijker piramides plaat,0.114787
circustent trapezium koekje,circus punt kubus,0.21521
trofee,trofee voetstuk draai pilaar,0.313515
is tekentje keppeltje,is teken hoedje,0.191173
neus omgedraaid,driehoek staafje stokje,0.328558
piercing,stokje door rondje,0.670668
parkbankje,bankje pootjes bakje,0.214984
ruitje blokken piramides,ruiten piramides staafje,0.1259
ronde schijf hendeltje,draaischijf hendel onderstuk,0.205428
gieter zonnepaneeltje,gieter staafjes scherm,0.194563
vulpen pennenbakje,pen rondje tijd,0.378464
bleekselderij spijker,spijker stengel plaatje,0.18324
drie bolletjes,drie puntjes zijkant,0.237916
knuffelaar ei,hendels balletje staaf,0.442823
konijntje,pijp vierkante plaat,0.568184
negen uur blokjes piramide,twee hendels piramide,0.215269
paddenstoel bovenop,links en vierkant,0.473318
op wielen vlieger,puntig,0.707903
trofee gedraaid kubusje,uitsteeksel onder,0.423728
varken links gekanteld,links boven rechts,0.190264
vleugeltjes lange rechthoek,compact,0.548189
doorgestoken ei,rond rechts,0.49007
tafel twee stoelpoten,zwevende poten,0.297465
pinokkio liggende zandloper,rechts midden onder,0.396627
drankje citroen lepel,links uitstekend,0.671384
ijzeren pin erdoorheen,links rechts plat,0.364012
ei omgekeerde kegel,twee uitsteeksels boven,0.334082
ijspegel cirkel,links hoog uitsteeksel,0.472147
zwembad met trapje,symmetrisch,0.620487
lange balk voorkant,langwerpige balk,0.105258
linkerarm zwevend vierkant,complex,0.702194
negen uur,vier uitsteeksels,0.470949
paddestoel groeiende kubussen,vierkant oplopende kubussen,0.218866
vlieger,vlieger,-2.38419e-07
trofee,trofee,0.0
varken,varken,-1.19209e-07
kip watertap,kip watertap,0.0
doorgestoken ei lepel,ei cirkel lepel,0.0996123
tafelpoten staartje,tafel poten cupje,0.185864
groeiende kubussen armen,vierkant kubussen armen,0.140402
lepel citroen,citroen lepel balk,0.0900893
zwaard,zwaard,0.0
ei kegel,ei omgekeerde kegel,0.0452833
ijspegel c,cirkel c ijspegel,0.0864749
symmetrisch,symmetrisch,1.19209e-07
ei armen balk,ei balk armen,0.0
glijbaan schoorsteentjes,glijbaan schoorstenen,0.108438
negen uur,negen uur,0.0
robot ogen vierkant,antenne voorvlak uitsteeksels,0.368859
hoedje neus oor,punthoedje vierkante blok arm,0.360054
standaard vierkant driehoek,voetsteun blokken kopje,0.349331
onderzeeer boot,zitten rug uitsteeksels,0.547234
bootje vinnen staaf,armen neus hoofddeksel,0.309131
neus piercing staaf,wc ontstopper vasthouden,0.359679
tafel pootjes,tafel plateautje schaaltje,0.130603
kraan sateliet,been omhoog vechtsport,0.607666
lepel staaf onderkant,voetsteun uitstekende arm,0.426699
staaf benen staart,lichaampje op voorgrond,0.262616
neus clown,bowling pion antenne bolletjes neus,0.281405
plateau draaien,dienblad antenne uitsteeksel,0.369796
vierkant oren clown,ondergrond zwembad lijn zwemmen,0.484317
hoofd armen neem,armen gespreid paal,0.231333
rokje arm,vierkante buikband,0.372991
lepel staart armen,meerdere langwerpige uitsteeksels,0.305243
robot,robot,0.0
neus piramide,punthoedje dikke neus,0.232968
statief beker,statief vierkantje bovenop,0.282132
duikboot piramide,onderzeeer autorijden,0.449499
duikboot pinnetje,onderzeeer neus met staafje,0.243769
neus piercing,wc ontstopper neuspiercing,0.300646
tafeltje pootjes,bureautje met pootjes,0.0996133
kraantje,kraantje vechtsporter,0.206448
lepeltje onderkant citroen,boogschutter lepeltje armpje,0.275621
deegroller staaf,deegroller,0.104553
lepeltjes neus arm,ronde neus lepeltjes,0.11145
bankschroef plateau,bankschroef dienblad,0.205492
clown wokkels,zwembad wokkels zwembad lijn,0.48059
knuffel armen staaf,omarm me,0.465086
rokje vierkant,rokje vierkante buikband,0.128234
mannetje lepeltje,mannetje met uitstekels,0.175491
verrekijkers,torentjes gekarteld zijkant,0.739239
punthoed,feestmuts puntneus oor,0.22151
langwerpig,lang gedraaide standaard,0.365254
vogel,twee balken rechterkant,0.653982
grote neus,balk bovenop horizontaal,0.413872
gootsteenontstopper,neus balk doorheen,0.532223
hoge plank,vierkant bovenin eromheen,0.392293
grijphaak,puntneus arm been,0.558352
pinokkio,lepel halve schijf,0.733625
gestrekte armen,lijkt op gieter,0.493481
zijkant gezicht,liniaal penseel bal,0.416036
dienblad,pylon uitstekende arm,0.506324
pippi langkous,op vierkant varkensneus,0.67507
basketbal,bal bovenop liggend,0.581359
danseres,vierkant bijna onderin,0.765095
speldenkussen,theepot rare handvaten,0.399924
verrekijkers,verrekijkers antenne vierkant,0.197812
punthoed,net aanrakend dingetje,0.412142
langwerpig,lange voorwerp,0.429718
vogel,vogeltje kuif snavel,0.192572
lego poppetje,balk bovenop staafje,0.529919
gootsteenontstopper door neus,ontstopper door neus,0.098707
hoge plaat,vierkant twee pootjes,0.396926
ruit met grijphaak,ruit arm been,0.306226
pinokkio,pinokkio,0.0
armpjes,twee ronde stompjes,0.345862
kegel hoofd,erop balk kegel,0.236364
ober,pylon en dienblad,0.545004
pippi langkous,pippi langkous varkensneus,0.0134934
basket,bol armpjes staaf,0.572411
robot danseres,robot of ballerina,0.175565
speldenkussen,wc borstels blokkendoos slurfje,0.44806
paddenstoel bovenop,twee groeiende vierkanten,0.443163
driehoek bovenop,driehoek bovenop,0.0
vierkant blok bovenop,gedraaide verticale balk,0.324254
platte uitsteeksels rechts,uitsteeksel als is,0.285395
balk bovenop,horizontale balk bovenop,0.0547715
bol met uitsteeksels,balk door bal,0.369222
tafel er doorheen,tafeltje aan zijkant,0.270407
ruit uitsteeksels bovenop,onder rechts uitsteeksel,0.223745
uitstekende cilinder links,op afronde balk,0.374879
uitsteeksels met bol,metsel schep aan rand,0.339584
bol voorkant,pylon streep bovenuit,0.327311
spijker uitsteeksel links,pacman met uitsteeksel,0.316288
ligt op plateau,twee rijen bolletjes,0.585664
balk rechtop voor,balk verticaal voorkant,0.136315
kleine uitsteeksels boven,plateau door midden,0.385749
cactus in pot,groter wordende vierkanten,0.550766
torentjes en paddenstoel,twee torentjes paddestoel,0.0974942
tent,piramide en kogel,0.586572
driehoek gedraaide balk,driehoek gedraaide balk,-1.19209e-07
is teken,is platte driehoek,0.306073
de compacte,compact balk boven,0.385489
ding door bol,staaf door bal,0.20415
picknicktafel,picknicktafel,5.96046e-08
ruit met torentjes,ruit twee torentjes,0.0488225
die lang duurde,ronde balk onderin,0.648059
ongelijke uitstekende dingen,twee ongelijke armen,0.349181
twee verschillende uitsteeksels,twee verschillende boven,0.162422
spijker,spijker,-1.19209e-07
drie bolletjes,drie balletjes zijkant,0.153532
losstaande balk,balk ervoor,0.203355
plaat er doorheen,plaat doorheen,0.0468593
plant in pot,plant in pot,0.0
bovenstuk van microscoop,mixer,0.574461
hondenkop met feestmuts,feestmuts en toeter,0.125663
een potige vogel,kampioenschaps beker,0.535954
vijf vinnige vis,hoedje en pijp,0.381216
hondenkop met kuif,ober,0.545983
persoon met neuspiercing,mok met lepel,0.340759
tweepotige mok houder,picknicktafel ervoor,0.437132
dansend schaap,niet automatische handboor,0.636417
urinoir met hendel,kinder ijsbeker pinguin,0.507439
korte vlag houder,glijbaan,0.714019
beslagkom voor eieren,twee verfkwasten,0.386084
houtwerk met spijker,spijker links,0.275286
complexe halsketting hanger,op platform,0.66415
olifant met bolhoedje,korf,0.518688
waterpomp met plateau,lange neus,0.457885
olifantenhoofd met blok aanhangsel,verbaasd poppetje tong,0.327966
mixer met antenne,mixer,0.132291
hondenkop met feestmuts,feestmuts en toeter,0.125663
kip,trofee,0.749909
vijf vinnige vis,met pijp,0.509866
hondenkop met kuif,ober,0.545983
man met neuspiercing,neuspiercing,0.179579
plateau met pootjes,afdak bovenaan,0.328474
dansend schaap,dansend schaap,0.0
mok op kano koekje,op kano koekje,0.0462719
lucifer met mok,lucifer en plank,0.240395
mok met roer spaantjes,verfkwast en spaan,0.274345
houtwerk met spijker,spijker,0.209657
mok met kraaltjes,op vierkant plateau,0.422309
korf voor balsporten,korf,0.304135
waterpomp met plateau,vierkant erdoorheen,0.405982
mok met roer handvaten,wcborstel en kubusjes,0.243947
plat vierkant rechterkant,twee blokken stapels links,0.312484
piramide bovenop,grote driehoek boven,0.243823
kubus rechts bovenop,wijnglas met blokken,0.320338
trapezium bovenop midden,twee plankjes rechts,0.248457
horizontale balk bovenop,liggend balkje boven,0.235274
bol rechts midden,balkje door ei,0.304307
horizontale plaat middenin,in tafeltje,0.340425
l vorm onderkant,boogje midden onder,0.390065
halve cirkel linksboven,ronde schijf achterkant,0.288444
weerskanten staaf bolletjes midden,tegenovergestelde zoutvaatjes zijkant,0.189448
bowlingkegel links bovenop,zijkant ei driehoek,0.31606
rond plateau rechterkant,rond plateautje zijkant,0.162697
plat vierkant onderop,op een vierkant,0.198564
verticale balk rechts,ei boven achter,0.374846
plat vierkant onder midden,in vierkant,0.157349
kegel middenin bovenop,midden boven uitsteeksel,0.221499
paddestoel bovenop,paddestoel bovenop,1.19209e-07
piramide bovenop,driehoek bovenop,0.157244
wijnbeker,wijnglas,0.387555
kip,kip,5.96046e-08
compact,compact,0.0
ei staaf erdoorheen,balk door ei,0.242217
tafel twee pootjes,in tafeltje,0.245154
boek twee trappetjes,boek met blokken stapels,0.158159
halve cirkel bovenop,cirkel achter,0.14281
twee zoutvaatjes weerskanten,zoutvaatjes,0.206281
ei penseel linksboven,ei rechts,0.200186
rond plateau rechts,plateautje rechts,0.219528
spiraaltjes weerskanten,spiralen zijkant,0.386414
verticale balk,ei bovenop,0.517772
l vorm links,l links,0.0658633
trapje twee kegels,trappetje rechts,0.28802
kubusjes vierkant zijkanten,geplakt aan muur,0.270187
driehoek bovenop,scherpe punt boven,0.27202
driehoekig pootje eronder,robot draaiend omhoog,0.376606
twee rechthoeken rechts,deur van onderzeeer,0.432038
oorbellen en hanenkam,balkje bovenop,0.487356
plukje haar neuspiercing,staartje en neuspiercing,0.0958235
plank erdoor bovenin,bank met cakevorm,0.326009
drie uitstulpsels rechtsonder,doorboord boek achter,0.297958
pannetje deksel lepel,cirkel achter beker,0.367291
gieter met klepje,informatiebordje achter kopje,0.292318
ongelijke oren bovenop,twee lepels,0.422363
spijker pacman zijtafel,spijker driekwart cilinder,0.411588
plank eronder,pippi langkous staartjes,0.652441
bol bovenop,basket met bal,0.391423
plank erdoor onderin,in een platform,0.537522
kubusjes rechter zijkant,stapel dozen rechts,0.341502
muur plakker spijker kubusjes,paddenstoel groeit erop,0.397846
kogel pyramide,kogel linkerkant,0.324963
cocktailglas,fancy coctailglas,0.471287
onderzeeer deur,deur in onderzeeer,0.0635889
uitlaten hanenkam neus staaf,twee uitlaten,0.269345
neuspiercing plukje,plukje en neuspiercing,0.0260236
