"StartTime","EndTime","director","trial","target","pair","transitions","round"
1856120,1862850,"A","4.6_ref",13,"005006",1,4
1870820,1880570,"B","4.7_ref",12,"005006",1,4
1884840,1897620,"A","4.8_ref",7,"005006",3,4
1901700,1908160,"B","4.9_ref",2,"005006",1,4
1916930,1930590,"A","4.10_ref",9,"005006",3,4
1935810,1942940,"B","4.11_ref",14,"005006",3,4
1953040,1964070,"A","4.12_ref",5,"005006",1,4
1968340,1976940,"B","4.13_ref",8,"005006",1,4
1982530,1992470,"A","4.14_ref",11,"005006",2,4
1997560,2008260,"B","4.15_ref",4,"005006",2,4
2012510,2020060,"A","4.16_ref",3,"005006",1,4
2026150,2035110,"B","5.1_ref",7,"005006",1,5
2103020,2114470,"A","5.2_ref",6,"005006",1,5
2122400,2133220,"B","5.3_ref",11,"005006",1,5
2144040,2156050,"A","5.4_ref",10,"005006",1,5
2171210,2200440,"B","5.5_ref",9,"005006",5,5
2207200,2216060,"A","5.6_ref",4,"005006",1,5
2223400,2229150,"B","5.7_ref",13,"005006",1,5
2235460,2241300,"A","5.8_ref",12,"005006",1,5
2244490,2258880,"B","5.9_ref",1,"005006",1,5
2267920,2295200,"A","5.10_ref",8,"005006",7,5
2300160,2308910,"B","5.11_ref",15,"005006",1,5
2316160,2323460,"A","5.12_ref",14,"005006",1,5
2331450,2340150,"B","5.13_ref",5,"005006",1,5
2350510,2358510,"A","5.14_ref",16,"005006",1,5
2364690,2373790,"B","5.15_ref",3,"005006",1,5
2382630,2394200,"A","5.16_ref",2,"005006",3,5
2397100,2406870,"B","6.1_ref",10,"005006",1,6
2423550,2433120,"A","6.2_ref",11,"005006",1,6
2508880,2519470,"B","6.3_ref",8,"005006",1,6
2527080,2533090,"A","6.4_ref",7,"005006",1,6
2552570,2561230,"B","6.5_ref",4,"005006",1,6
2572070,2583960,"A","6.6_ref",3,"005006",1,6
2593980,2602070,"B","6.7_ref",14,"005006",1,6
2608500,2614170,"A","6.8_ref",13,"005006",1,6
2620690,2627950,"B","6.9_ref",2,"005006",1,6
2635540,2644980,"A","6.10_ref",9,"005006",1,6
2650410,2659450,"B","6.11_ref",6,"005006",1,6
2669990,2676370,"A","6.12_ref",1,"005006",1,6
2685480,2692290,"B","6.13_ref",16,"005006",1,6
2696200,2703710,"A","6.14_ref",5,"005006",3,6
2706710,2713820,"B","6.15_ref",12,"005006",1,6
2723690,2735830,"A","6.16_ref",15,"005006",3,6
1560,145860,"B","1.1_ref",9,"007008",61,1
165390,207550,"A","1.2_ref",6,"007008",15,1
226890,252310,"B","1.3_ref",15,"007008",15,1
275620,292760,"A","1.4_ref",14,"007008",9,1
309500,334780,"B","1.5_ref",13,"007008",5,1
384810,473120,"A","1.6_ref",16,"007008",21,1
499270,527570,"B","1.7_ref",11,"007008",9,1
539550,592010,"A","1.8_ref",8,"007008",21,1
607770,632570,"B","1.9_ref",3,"007008",13,1
668900,698160,"A","1.10_ref",10,"007008",7,1
723560,758070,"B","1.11_ref",5,"007008",13,1
771590,796690,"A","1.12_ref",4,"007008",7,1
808860,876430,"B","1.13_ref",7,"007008",17,1
898740,926600,"A","1.14_ref",2,"007008",7,1
944220,962350,"B","1.15_ref",1,"007008",9,1
983920,1012810,"A","1.16_ref",12,"007008",11,1
1035180,1060060,"B","2.1_ref",14,"007008",7,2
1076130,1093680,"A","2.2_ref",9,"007008",5,2
1113250,1131770,"B","2.3_ref",16,"007008",3,2
1139170,1152560,"A","2.4_ref",3,"007008",3,2
1170300,1187140,"B","2.5_ref",10,"007008",1,2
1213060,1239380,"A","2.6_ref",11,"007008",15,2
1250050,1259310,"B","2.7_ref",12,"007008",1,2
1299700,1308350,"A","2.8_ref",7,"007008",1,2
1338030,1349010,"B","2.9_ref",6,"007008",5,2
1378220,1388190,"A","2.10_ref",13,"007008",1,2
1402140,1418440,"B","2.11_ref",2,"007008",3,2
1447330,1458840,"A","2.12_ref",15,"007008",3,2
1478370,1496670,"B","2.13_ref",8,"007008",7,2
1505250,1536600,"A","2.14_ref",1,"007008",7,2
1546860,1554300,"B","2.15_ref",4,"007008",3,2
1577380,1589310,"A","2.16_ref",5,"007008",3,2
1598380,1649250,"B","3.1_ref",9,"007008",13,3
1662200,1677130,"A","3.2_ref",10,"007008",5,3
1700310,1715320,"B","3.3_ref",15,"007008",5,3
1728200,1738430,"A","3.4_ref",12,"007008",1,3
1776500,1790810,"B","3.5_ref",1,"007008",1,3
1805150,1811280,"A","3.6_ref",4,"007008",1,3
1825440,1836380,"B","3.7_ref",7,"007008",1,3
1839910,1856590,"A","3.8_ref",16,"007008",5,3
