"director","trial","target","pair","round","peaks1","peaks2","gesture1","gesture2","range1","range2","transitions"
"A","3.6_ref",4,"037038",3,8,6,7,14,0.057988,0,1
"A","3.6_ref",4,"039040",3,5,8,9,18,0.060153,0.069249,1
"A","3.6_ref",4,"041042",3,8,5,7,6,0.052112,0.097094,1
"A","3.6_ref",4,"043044",3,15,14,15,6,0.05557,0.085452,5
"A","3.6_ref",4,"045046",3,25,8,14,8,0.093987,0.064912,3
"A","3.6_ref",4,"047048",3,7,2,9,2,0.060303,0,1
"A","3.6_ref",4,"049050",3,18,4,19,7,0.143881,0.016421,3
"A","3.6_ref",4,"051052",3,22,6,18,1,0.16497,0.099001,5
"A","3.6_ref",4,"053054",3,44,7,29,3,0.101803,0.046394,3
"A","3.6_ref",4,"055056",3,4,11,8,5,0.111942,0.079408,1
"A","3.6_ref",4,"057058",3,24,8,10,7,0.141423,0.103121,1
"A","3.6_ref",4,"063064",3,9,4,15,3,0.055324,0.035376,1
"A","3.6_ref",4,"065066",3,30,31,24,11,0.137688,0.075012,11
"A","3.6_ref",4,"067068",3,6,4,7,11,0.121864,0.089332,1
"A","3.6_ref",4,"069070",3,15,6,5,5,0.101279,0.069515,4
"A","3.6_ref",4,"075076",3,4,6,6,6,0.098059,0.093305,2
"A","3.6_ref",4,"077078",3,24,13,16,15,0.137067,0.089496,8
"A","3.6_ref",4,"081082",3,15,7,18,4,0,0.154915,1
"A","3.6_ref",4,"099100",3,6,9,10,5,0.032583,0.08116,1
"A","3.6_ref",4,"101102",3,21,3,13,14,0.130167,0,3
"A","3.6_ref",4,"107108",3,9,6,13,1,0.194887,0.137586,4
"A","3.6_ref",4,"109110",3,3,6,12,6,0.075809,0.095311,4
"A","3.6_ref",4,"119120",3,11,5,14,11,0.096915,0.143148,3
"A","3.6_ref",4,"121122",3,11,3,8,8,0.065603,0.027929,1
"A","3.6_ref",4,"123124",3,6,7,2,3,0.06485,0.095904,3
"A","3.6_ref",4,"131132",3,3,3,7,6,0.094297,0.089157,1
"A","3.6_ref",4,"135136",3,22,13,19,5,0.141047,0.068912,5
"A","3.6_ref",4,"141142",3,37,3,17,14,0.083019,0.122328,6
"A","3.6_ref",4,"143144",3,51,48,39,38,0.154015,0.167979,13
"A","3.6_ref",4,"145146",3,7,6,6,7,0.112508,0.086787,1
"A","3.8_ref",16,"003004",3,12,5,14,2,0.177406,0.211724,5
"A","3.8_ref",16,"005006",3,21,4,14,10,0.057622,0.053742,5
"A","3.8_ref",16,"007008",3,16,8,25,11,0.061531,0.061358,5
"A","3.8_ref",16,"009010",3,33,21,29,11,0.14597,0.125654,3
"A","3.8_ref",16,"013014",3,55,20,31,12,0.131392,0.181399,11
"A","3.8_ref",16,"015016",3,41,19,33,6,0.100059,0.146536,11
"A","3.8_ref",16,"017018",3,25,7,14,12,0.106504,0.052215,3
"A","3.8_ref",16,"019020",3,23,7,22,4,0.128341,0.048111,3
"A","3.8_ref",16,"021022",3,42,4,25,26,0.188045,0.082908,3
"A","3.8_ref",16,"025026",3,47,15,33,33,0.113169,0.08736,3
"A","3.8_ref",16,"027028",3,35,25,12,21,0.105805,0.11201,11
"A","3.8_ref",16,"035036",3,9,3,21,14,0.120797,0.168382,1
"A","3.8_ref",16,"037038",3,54,10,20,13,0.18386,0,7
"A","3.8_ref",16,"039040",3,15,2,14,4,0.142797,0.17517,1
"A","3.8_ref",16,"041042",3,35,2,28,23,0.055063,0.086754,3
"A","3.8_ref",16,"043044",3,10,13,16,10,0.076041,0.105617,4
"A","3.8_ref",16,"045046",3,41,4,26,5,0.138638,0.093613,5
"A","3.8_ref",16,"047048",3,5,2,9,7,0.046766,0,1
"A","3.8_ref",16,"049050",3,30,4,23,17,0.101305,0.089617,5
"A","3.8_ref",16,"051052",3,31,8,21,2,0.159639,0.102815,5
"A","3.8_ref",16,"053054",3,35,4,16,13,0.134213,0.058368,1
"A","3.8_ref",16,"055056",3,47,9,26,14,0.208765,0.159895,5
"A","3.8_ref",16,"057058",3,54,21,31,15,0.130226,0.166619,5
"A","3.8_ref",16,"063064",3,8,15,15,7,0.059123,0.106939,3
"A","3.8_ref",16,"065066",3,13,5,12,2,0.1136,0.082803,1
"A","3.8_ref",16,"067068",3,33,12,24,12,0.117949,0.103721,3
"A","3.8_ref",16,"069070",3,19,7,9,6,0.088684,0.133008,3
"A","3.8_ref",16,"075076",3,30,6,5,20,0.11616,0.138505,4
"A","3.8_ref",16,"077078",3,88,19,50,9,0.147477,0.084131,13
"A","3.8_ref",16,"081082",3,31,18,30,15,0.145535,0.151639,7
"A","3.8_ref",16,"099100",3,19,5,8,9,0.051065,0.088271,1
"A","3.8_ref",16,"101102",3,27,3,17,5,0.085839,0,1
"A","3.8_ref",16,"107108",3,45,44,34,36,0.124388,0.128079,10
"A","3.8_ref",16,"109110",3,49,37,40,22,0.117946,0.199183,11
"A","3.8_ref",16,"119120",3,5,7,15,17,0,0.113663,3
"A","3.8_ref",16,"121122",3,9,6,9,14,0.097061,0.209532,3
"A","3.8_ref",16,"123124",3,18,5,14,17,0.102619,0.071909,1
"A","3.8_ref",16,"131132",3,24,19,19,12,0.146086,0.15043,8
"A","3.8_ref",16,"135136",3,34,5,24,6,0.124358,0.259249,3
"A","3.8_ref",16,"141142",3,26,6,20,16,0.13081,0.195328,5
"A","3.8_ref",16,"143144",3,44,27,25,22,0.087219,0.140433,7
"A","3.8_ref",16,"145146",3,58,27,46,14,0.149613,0.167852,9
"A","4.10_ref",9,"003004",4,27,14,15,9,0.15159,0.121838,4
"A","4.10_ref",9,"005006",4,26,3,19,11,0.08359,0.046008,3
"A","4.10_ref",9,"007008",4,16,5,30,4,0.11279,0.067242,1
"A","4.10_ref",9,"009010",4,22,5,21,3,0.079604,0.039126,3
"A","4.10_ref",9,"013014",4,9,3,11,9,0.113084,0.070342,3
"A","4.10_ref",9,"015016",4,15,3,15,10,0.071993,0.021703,3
"A","4.10_ref",9,"017018",4,24,9,16,24,0.132077,0.112972,5
"A","4.10_ref",9,"019020",4,18,4,14,2,0.082716,0.012932,3
"A","4.10_ref",9,"021022",4,28,26,3,21,0.123734,0.090891,5
"A","4.10_ref",9,"025026",4,13,3,17,1,0.071255,0.050832,1
"A","4.10_ref",9,"027028",4,18,16,13,12,0.044695,0.191718,6
"A","4.10_ref",9,"035036",4,14,3,11,7,0.102104,0.118415,1
"A","4.10_ref",9,"037038",4,8,3,7,9,0.025334,0,1
"A","4.10_ref",9,"039040",4,28,2,24,6,0.05882,0.058821,1
"A","4.10_ref",9,"041042",4,18,6,23,11,0.169015,0.06443,1
"A","4.10_ref",9,"043044",4,11,15,23,13,0.01951,0.07056,3
"A","4.10_ref",9,"045046",4,31,9,36,4,0.120736,0.133771,3
"A","4.10_ref",9,"047048",4,2,1,7,6,0.082764,0,1
"A","4.10_ref",9,"049050",4,23,10,26,18,0.129864,0.185356,3
"A","4.10_ref",9,"051052",4,30,12,17,6,0.176278,0.114156,9
"A","4.10_ref",9,"053054",4,42,8,25,9,0.108628,0.087393,5
"A","4.10_ref",9,"055056",4,15,15,19,3,0.060544,0.094303,5
"A","4.10_ref",9,"057058",4,32,8,27,9,0.168182,0.097264,4
"A","4.10_ref",9,"063064",4,20,4,17,1,0.077102,0.139801,1
"A","4.10_ref",9,"065066",4,21,7,10,6,0.078723,0.044736,3
"A","4.10_ref",9,"067068",4,17,6,9,9,0.144222,0.066511,1
"A","4.10_ref",9,"069070",4,28,15,13,20,0.091281,0.137523,9
"A","4.10_ref",9,"075076",4,35,12,8,13,0.113614,0.149781,5
"A","4.10_ref",9,"077078",4,26,6,15,2,0.098022,0.096998,3
"A","4.10_ref",9,"081082",4,23,16,41,32,0.096849,0.123602,3
"A","4.10_ref",9,"099100",4,18,5,8,3,0.039256,0.063586,5
"A","4.10_ref",9,"101102",4,16,5,10,5,0.079182,0,1
"A","4.10_ref",9,"107108",4,7,4,6,11,0.110584,0.084545,3
"A","4.10_ref",9,"109110",4,3,5,12,7,0.081808,0.077804,3
"A","4.10_ref",9,"119120",4,17,10,31,12,0.073428,0.085573,9
"A","4.10_ref",9,"121122",4,7,3,4,9,0.036132,0.056366,1
"A","4.10_ref",9,"123124",4,4,9,13,13,0.017559,0.088656,3
"A","4.10_ref",9,"131132",4,12,5,13,4,0.106005,0.175028,3
"A","4.10_ref",9,"135136",4,28,13,24,4,0.120879,0.109959,1
"A","4.10_ref",9,"141142",4,25,1,23,20,0.108239,0.032972,2
"A","4.10_ref",9,"143144",4,6,6,6,2,0.072826,0.113536,1
"A","4.10_ref",9,"145146",4,19,4,11,3,0.125638,0.133378,3
"A","4.12_ref",5,"003004",4,5,10,14,2,0.084707,0.112976,3
"A","4.12_ref",5,"005006",4,5,12,3,10,0.029118,0.071723,1
"A","4.12_ref",5,"007008",4,25,17,29,9,0.084293,0.084867,3
"A","4.12_ref",5,"009010",4,11,5,16,14,0.098551,0.003117,1
"A","4.12_ref",5,"013014",4,7,11,2,15,0.112087,0.171966,1
"A","4.12_ref",5,"015016",4,4,3,10,3,0.072276,0.070155,1
"A","4.12_ref",5,"017018",4,27,21,19,14,0.129561,0.081387,3
"A","4.12_ref",5,"019020",4,15,3,15,6,0.090376,0.045105,1
"A","4.12_ref",5,"021022",4,29,7,18,14,0.110249,0.042838,3
"A","4.12_ref",5,"025026",4,7,5,12,2,0.050573,0.128063,1
"A","4.12_ref",5,"027028",4,4,4,7,2,0.125997,0.079769,1
"A","4.12_ref",5,"035036",4,17,2,7,5,0.080536,0.166531,3
"A","4.12_ref",5,"037038",4,19,3,8,5,0.058792,0,1
"A","4.12_ref",5,"039040",4,10,3,23,9,0.114487,0.035836,1
"A","4.12_ref",5,"041042",4,18,3,19,6,0.06826,0.072417,1
"A","4.12_ref",5,"043044",4,11,3,9,7,0.065009,0.003153,1
"A","4.12_ref",5,"045046",4,16,6,13,9,0,0.140517,3
"A","4.12_ref",5,"047048",4,8,2,9,9,0.112475,0,1
"A","4.12_ref",5,"049050",4,12,6,14,7,0.093557,0.108682,1
"A","4.12_ref",5,"051052",4,16,13,23,2,0.156327,0.114868,1
"A","4.12_ref",5,"053054",4,19,7,10,6,0.075559,0.137472,3
"A","4.12_ref",5,"055056",4,6,9,11,9,0.108249,0.121599,1
"A","4.12_ref",5,"057058",4,75,51,47,23,0.164442,0.189908,16
"A","4.12_ref",5,"063064",4,9,5,12,4,0.059751,0.132404,1
"A","4.12_ref",5,"065066",4,11,5,17,7,0.125523,0.089387,1
"A","4.12_ref",5,"067068",4,18,3,12,13,0.172244,0.137406,1
"A","4.12_ref",5,"069070",4,12,4,6,4,0.108554,0.197717,3
"A","4.12_ref",5,"075076",4,6,8,5,10,0.163561,0.151783,1
"A","4.12_ref",5,"077078",4,24,3,17,11,0.096635,0.103472,3
"A","4.12_ref",5,"081082",4,11,5,9,4,0.106878,0.133802,1
"A","4.12_ref",5,"099100",4,10,3,5,2,0.063952,0.109828,3
"A","4.12_ref",5,"101102",4,17,2,12,3,0.057002,0,4
"A","4.12_ref",5,"107108",4,28,26,23,22,0.240693,0.164746,6
"A","4.12_ref",5,"109110",4,24,16,25,14,0.123854,0.161105,7
"A","4.12_ref",5,"119120",4,8,6,2,10,0.080054,0.141164,7
"A","4.12_ref",5,"121122",4,8,2,9,10,0.056272,0.055474,1
"A","4.12_ref",5,"123124",4,10,11,12,15,0.099935,0.080157,3
"A","4.12_ref",5,"131132",4,8,6,10,12,0.089797,0.173227,1
"A","4.12_ref",5,"135136",4,15,9,19,5,0.153912,0.134903,1
"A","4.12_ref",5,"141142",4,27,2,19,11,0.103575,0,5
"A","4.12_ref",5,"143144",4,2,3,3,13,0.208931,0.030482,1
"A","4.12_ref",5,"145146",4,6,6,13,4,0.077358,0.136179,1
"A","4.14_ref",11,"003004",4,12,10,17,6,0.13421,0.137331,3
"A","4.14_ref",11,"005006",4,23,1,8,7,0.036523,0.04726,2
"A","4.14_ref",11,"007008",4,16,3,19,11,0.106809,0.057055,3
"A","4.14_ref",11,"009010",4,23,10,14,11,0.168762,0.079265,1
"A","4.14_ref",11,"013014",4,108,83,100,31,0.136172,0.159695,31
"A","4.14_ref",11,"015016",4,20,6,17,5,0.07123,0.146322,5
"A","4.14_ref",11,"017018",4,9,9,13,3,0.062001,0.036776,1
"A","4.14_ref",11,"019020",4,25,12,10,3,0.126504,0.105497,3
"A","4.14_ref",11,"021022",4,32,8,15,15,0.095961,0.17676,5
"A","4.14_ref",11,"025026",4,24,4,20,11,0.076764,0.017189,1
"A","4.14_ref",11,"027028",4,26,6,10,18,0.101816,0.170081,3
"A","4.14_ref",11,"035036",4,13,3,12,8,0.108447,0.053624,1
"A","4.14_ref",11,"037038",4,37,10,27,9,0.054848,0,7
"A","4.14_ref",11,"039040",4,14,2,9,5,0.056536,0.014875,2
"A","4.14_ref",11,"041042",4,44,4,35,24,0.084517,0.047887,1
"A","4.14_ref",11,"043044",4,31,13,17,16,0.108193,0.198183,7
"A","4.14_ref",11,"045046",4,9,1,9,8,0.083406,0.159023,1
"A","4.14_ref",11,"047048",4,29,15,32,20,0.095552,0,8
"A","4.14_ref",11,"049050",4,27,3,21,11,0.151915,0.106229,3
"A","4.14_ref",11,"051052",4,17,5,13,1,0.151011,0.077895,3
"A","4.14_ref",11,"053054",4,34,4,17,3,0.133022,0.099547,3
"A","4.14_ref",11,"055056",4,18,7,19,12,0.150074,0.105381,3
"A","4.14_ref",11,"057058",4,23,7,17,10,0.107733,0.120368,6
"A","4.14_ref",11,"063064",4,26,4,25,5,0.08008,0.15777,2
"A","4.14_ref",11,"065066",4,15,2,14,13,0.065041,0.053,1
"A","4.14_ref",11,"067068",4,21,19,30,16,0.153134,0.166773,8
"A","4.14_ref",11,"069070",4,23,7,4,7,0.084554,0.241641,3
"A","4.14_ref",11,"075076",4,24,4,1,9,0.136757,0.032622,4
"A","4.14_ref",11,"077078",4,13,5,9,6,0.081212,0.128541,1
"A","4.14_ref",11,"081082",4,10,5,8,3,0,0.099357,1
"A","4.14_ref",11,"099100",4,17,5,3,1,0.044076,0.121335,5
"A","4.14_ref",11,"101102",4,35,16,25,17,0.138049,0.083997,7
"A","4.14_ref",11,"107108",4,15,16,20,18,0.116714,0.140241,6
"A","4.14_ref",11,"109110",4,4,9,22,20,0.038553,0.085955,5
"A","4.14_ref",11,"119120",4,14,10,8,8,0.106661,0.118573,5
"A","4.14_ref",11,"121122",4,9,3,9,7,0.039197,0.020233,1
"A","4.14_ref",11,"123124",4,4,13,15,10,0.027222,0.085704,3
"A","4.14_ref",11,"131132",4,12,6,19,8,0.154537,0.210695,6
"A","4.14_ref",11,"135136",4,31,7,23,10,0.120524,0.10336,1
"A","4.14_ref",11,"141142",4,25,2,15,9,0.111901,0.083452,1
"A","4.14_ref",11,"143144",4,11,6,15,16,0.088022,0.057196,3
"A","4.14_ref",11,"145146",4,9,5,10,4,0.163162,0.122687,1
"A","4.16_ref",3,"003004",4,24,9,16,10,0.1334,0.182868,7
"A","4.16_ref",3,"005006",4,15,1,8,8,0.068029,0.054981,1
"A","4.16_ref",3,"007008",4,5,2,10,4,0,0.089354,3
"A","4.16_ref",3,"009010",4,8,5,10,2,0.03624,0.00352,1
"A","4.16_ref",3,"013014",4,151,26,103,52,0.163426,0.234226,13
"A","4.16_ref",3,"015016",4,8,6,11,9,0.089588,0.178941,3
"A","4.16_ref",3,"017018",4,14,7,16,1,0.053535,0.089189,1
"A","4.16_ref",3,"019020",4,24,4,17,2,0.163974,0.004719,1
"A","4.16_ref",3,"021022",4,4,6,6,8,0.05497,0.1127,1
"A","4.16_ref",3,"025026",4,10,2,10,8,0.048123,0.056618,1
"A","4.16_ref",3,"027028",4,3,3,3,5,0.016737,0.096344,1
"A","4.16_ref",3,"035036",4,5,4,11,5,0.0458,0.182217,1
"A","4.16_ref",3,"037038",4,6,2,3,6,0.06069,0,1
"A","4.16_ref",3,"039040",4,5,1,9,9,0.049267,0.017121,1
"A","4.16_ref",3,"041042",4,17,2,12,2,0.099935,0.082319,1
"A","4.16_ref",3,"043044",4,3,3,6,5,0.002756,0,3
"A","4.16_ref",3,"045046",4,4,3,6,3,0,0.103609,1
"A","4.16_ref",3,"047048",4,4,2,6,5,0.24467,0,1
"A","4.16_ref",3,"049050",4,16,4,12,8,0.12862,0.142914,3
"A","4.16_ref",3,"051052",4,8,7,5,4,0.138234,0.060515,3
"A","4.16_ref",3,"053054",4,12,7,5,11,0.056987,0.149588,3
"A","4.16_ref",3,"055056",4,5,7,10,1,0.025157,0.11523,2
"A","4.16_ref",3,"057058",4,8,7,7,7,0.08989,0.176153,2
"A","4.16_ref",3,"063064",4,9,4,12,2,0.096805,0.145116,1
"A","4.16_ref",3,"065066",4,10,2,6,6,0.078625,0.043362,1
"A","4.16_ref",3,"067068",4,3,5,7,6,0.109471,0.22196,1
"A","4.16_ref",3,"069070",4,13,5,5,13,0.097277,0.044076,3
"A","4.16_ref",3,"075076",4,5,5,4,7,0.122137,0,1
"A","4.16_ref",3,"077078",4,11,7,10,3,0.086895,0.117265,3
"A","4.16_ref",3,"081082",4,6,4,13,7,0,0.04715,1
"A","4.16_ref",3,"099100",4,6,5,7,7,0.062022,0.142724,1
"A","4.16_ref",3,"101102",4,7,1,8,6,0.090822,0,2
"A","4.16_ref",3,"107108",4,46,52,37,38,0.13524,0.125,13
"A","4.16_ref",3,"109110",4,7,5,23,21,0,0.078715,2
"A","4.16_ref",3,"119120",4,6,4,2,4,0,0.137562,4
"A","4.16_ref",3,"121122",4,11,4,8,7,0.07732,0.046,1
"A","4.16_ref",3,"123124",4,5,8,8,4,0.064044,0.082077,3
"A","4.16_ref",3,"131132",4,3,4,6,3,0.00517,0.187514,1
"A","4.16_ref",3,"135136",4,14,2,10,6,0.141475,0.03663,1
"A","4.16_ref",3,"141142",4,15,1,10,8,0.081332,0.157526,3
"A","4.16_ref",3,"143144",4,2,4,2,1,0.060522,0.125374,1
"A","4.16_ref",3,"145146",4,8,5,10,1,0.132066,0.104837,3
"A","4.2_ref",15,"003004",4,12,5,13,5,0.141835,0.128266,3
"A","4.2_ref",15,"005006",4,19,5,19,8,0.044888,0.155519,3
"A","4.2_ref",15,"007008",4,6,2,13,8,0,0,1
"A","4.2_ref",15,"009010",4,9,11,11,3,0.041611,0.042424,3
"A","4.2_ref",15,"013014",4,14,6,12,10,0.176876,0.138373,1
"A","4.2_ref",15,"015016",4,46,17,42,23,0.102474,0.194187,12
"A","4.2_ref",15,"017018",4,16,9,19,22,0.156979,0.07205,1
"A","4.2_ref",15,"019020",4,21,4,23,13,0.128335,0.050432,2
"A","4.2_ref",15,"021022",4,14,15,16,8,0.171441,0.065574,3
"A","4.2_ref",15,"025026",4,27,12,33,14,0.09014,0.078328,5
"A","4.2_ref",15,"027028",4,8,17,11,3,0.1058,0.193022,3
"A","4.2_ref",15,"035036",4,17,4,17,8,0.071956,0.096238,1
"A","4.2_ref",15,"037038",4,22,4,18,3,0.070631,0,1
"A","4.2_ref",15,"039040",4,10,12,17,13,0.102322,0.130857,1
"A","4.2_ref",15,"041042",4,26,5,26,24,0.069941,0.190939,1
"A","4.2_ref",15,"043044",4,15,6,18,12,0.056854,0.090144,1
"A","4.2_ref",15,"045046",4,14,2,15,14,0.090096,0.069631,1
"A","4.2_ref",15,"047048",4,17,4,20,10,0.069587,0,3
"A","4.2_ref",15,"049050",4,32,6,30,14,0.11121,0.080714,5
"A","4.2_ref",15,"051052",4,31,11,18,5,0.129436,0.094903,7
"A","4.2_ref",15,"053054",4,55,6,29,12,0.137806,0.076477,3
"A","4.2_ref",15,"055056",4,30,10,18,17,0.203738,0.106692,7
"A","4.2_ref",15,"057058",4,26,9,18,4,0.154852,0.172876,3
"A","4.2_ref",15,"063064",4,18,11,20,3,0.051052,0.09793,5
"A","4.2_ref",15,"065066",4,6,6,12,7,0.048411,0.06598,1
"A","4.2_ref",15,"067068",4,8,9,22,4,0.103612,0.104148,2
"A","4.2_ref",15,"069070",4,13,6,7,10,0.118844,0.129237,2
"A","4.2_ref",15,"075076",4,13,10,6,8,0.102211,0.126213,5
"A","4.2_ref",15,"077078",4,23,7,17,7,0.091772,0.121058,5
"A","4.2_ref",15,"081082",4,16,5,15,13,0,0.022287,3
"A","4.2_ref",15,"099100",4,6,3,1,10,0.039549,0.171138,1
"A","4.2_ref",15,"101102",4,36,56,36,31,0.161166,0.105839,9
"A","4.2_ref",15,"107108",4,24,13,12,23,0.141438,0.126786,6
"A","4.2_ref",15,"109110",4,10,5,18,8,0.073979,0.096769,5
"A","4.2_ref",15,"119120",4,8,9,14,11,0.074535,0.120943,5
"A","4.2_ref",15,"121122",4,10,3,9,1,0.024787,0.052793,4
"A","4.2_ref",15,"123124",4,9,15,9,7,0.065894,0.099396,4
"A","4.2_ref",15,"131132",4,3,4,7,1,0.06043,0.159885,2
"A","4.2_ref",15,"135136",4,23,4,18,7,0.157274,0.059712,1
"A","4.2_ref",15,"141142",4,34,5,31,5,0.119276,0.199908,3
"A","4.2_ref",15,"143144",4,8,14,17,9,0.149248,0.052131,3
"A","4.2_ref",15,"145146",4,23,11,20,1,0.145782,0.137541,7
"A","4.4_ref",1,"003004",4,4,2,3,6,0.171312,0.086665,1
"A","4.4_ref",1,"005006",4,14,1,3,3,0.064273,0,1
"A","4.4_ref",1,"007008",4,24,8,34,14,0.0801,0.065778,7
"A","4.4_ref",1,"009010",4,6,5,15,7,0.069361,0,1
"A","4.4_ref",1,"013014",4,12,3,14,8,0.09419,0.132985,2
"A","4.4_ref",1,"015016",4,8,3,11,4,0.138529,0.069323,3
"A","4.4_ref",1,"017018",4,13,5,15,16,0.083208,0.09219,1
"A","4.4_ref",1,"019020",4,12,4,14,12,0.061818,0.038591,1
"A","4.4_ref",1,"021022",4,18,7,15,11,0.116221,0.060193,3
"A","4.4_ref",1,"025026",4,26,12,33,17,0.052701,0.090675,3
"A","4.4_ref",1,"027028",4,14,4,9,20,0.068318,0.121674,1
"A","4.4_ref",1,"035036",4,7,2,8,6,0.006868,0.187928,1
"A","4.4_ref",1,"037038",4,27,3,21,9,0.064124,0,1
"A","4.4_ref",1,"039040",4,11,2,17,12,0.228169,0.145775,1
"A","4.4_ref",1,"041042",4,6,4,5,6,0.087406,0.107735,1
"A","4.4_ref",1,"043044",4,10,2,8,1,0.099445,0.01543,1
"A","4.4_ref",1,"045046",4,26,2,16,9,0.101258,0.066221,3
"A","4.4_ref",1,"047048",4,2,2,3,3,0.195787,0,1
"A","4.4_ref",1,"049050",4,13,6,12,4,0.166448,0.104556,3
"A","4.4_ref",1,"051052",4,36,9,23,8,0.218471,0.089556,4
"A","4.4_ref",1,"053054",4,19,4,19,10,0.076572,0.11094,1
"A","4.4_ref",1,"055056",4,10,7,7,4,0.118435,0.142662,3
"A","4.4_ref",1,"057058",4,24,9,11,2,0.171095,0.145716,3
"A","4.4_ref",1,"063064",4,25,3,19,3,0.07517,0.162242,1
"A","4.4_ref",1,"065066",4,3,2,1,3,0.151702,0.042442,1
"A","4.4_ref",1,"067068",4,16,1,15,12,0.080713,0.088578,1
"A","4.4_ref",1,"069070",4,12,12,2,7,0.119719,0.206446,3
"A","4.4_ref",1,"075076",4,10,10,5,3,0.1753,0.185575,2
"A","4.4_ref",1,"077078",4,14,6,13,3,0.077048,0.160651,1
"A","4.4_ref",1,"081082",4,10,8,15,5,0,0,1
"A","4.4_ref",1,"099100",4,8,5,14,7,0.018993,0.155752,1
"A","4.4_ref",1,"101102",4,6,3,7,3,0.078438,0,1
"A","4.4_ref",1,"107108",4,11,3,2,3,0.12462,0.124387,5
"A","4.4_ref",1,"109110",4,5,10,13,15,0.110582,0.12239,3
"A","4.4_ref",1,"119120",4,6,4,6,8,0,0.133508,3
"A","4.4_ref",1,"121122",4,7,3,5,5,0.026731,0.0784,1
"A","4.4_ref",1,"123124",4,9,4,12,10,0.09787,0.125292,1
"A","4.4_ref",1,"131132",4,7,6,8,6,0.168108,0.069148,1
"A","4.4_ref",1,"135136",4,21,6,10,5,0.177883,0.036519,1
"A","4.4_ref",1,"141142",4,23,4,19,17,0.068324,0.0501,6
"A","4.4_ref",1,"143144",4,5,5,4,5,0.073653,0.096246,1
"A","4.4_ref",1,"145146",4,21,7,12,4,0.190235,0.145064,1
"A","4.6_ref",13,"003004",4,5,1,5,4,0.131334,0.033085,1
"A","4.6_ref",13,"005006",4,19,1,8,2,0.061485,0.031351,1
"A","4.6_ref",13,"007008",4,9,1,11,8,0.120745,0.063609,1
"A","4.6_ref",13,"009010",4,5,4,9,2,0.069008,0.02949,1
"A","4.6_ref",13,"013014",4,15,6,23,2,0.126235,0.1345,6
"A","4.6_ref",13,"015016",4,25,2,20,14,0.082808,0.094142,1
"A","4.6_ref",13,"017018",4,9,5,12,7,0.050808,0.088957,1
"A","4.6_ref",13,"019020",4,24,5,16,11,0.084467,0.009482,3
"A","4.6_ref",13,"021022",4,35,11,17,23,0.138396,0,6
"A","4.6_ref",13,"025026",4,8,3,8,8,0.025815,0.11646,1
"A","4.6_ref",13,"027028",4,6,3,8,4,0.017759,0.140383,3
"A","4.6_ref",13,"035036",4,3,2,3,5,0.108768,0.119494,1
"A","4.6_ref",13,"037038",4,16,2,11,3,0.034182,0,1
"A","4.6_ref",13,"039040",4,13,2,12,4,0.092561,0.072847,1
"A","4.6_ref",13,"041042",4,10,2,7,9,0.117463,0.038914,3
"A","4.6_ref",13,"043044",4,23,5,23,3,0.097838,0.027166,5
"A","4.6_ref",13,"045046",4,17,3,8,7,0,0.115815,3
"A","4.6_ref",13,"047048",4,16,2,14,7,0.065299,0,4
"A","4.6_ref",13,"049050",4,21,3,17,10,0.114235,0.102399,4
"A","4.6_ref",13,"051052",4,16,5,13,2,0.213693,0.079821,3
"A","4.6_ref",13,"053054",4,31,4,20,9,0.06775,0.086891,3
"A","4.6_ref",13,"055056",4,7,5,7,6,0.043093,0.07604,0
"A","4.6_ref",13,"057058",4,23,5,15,3,0.110124,0.090706,2
"A","4.6_ref",13,"063064",4,7,5,8,11,0.146382,0.118858,1
"A","4.6_ref",13,"065066",4,6,1,9,7,0.155101,0.089957,1
"A","4.6_ref",13,"067068",4,8,5,15,3,0.116771,0.163763,4
"A","4.6_ref",13,"069070",4,13,5,3,4,0.081709,0.116539,3
"A","4.6_ref",13,"075076",4,18,4,1,10,0.115273,0.04368,1
"A","4.6_ref",13,"077078",4,10,4,9,7,0.08421,0.034371,1
"A","4.6_ref",13,"081082",4,9,5,11,6,0.08904,0.034759,1
"A","4.6_ref",13,"099100",4,8,7,8,0,0.030674,0.132955,3
"A","4.6_ref",13,"101102",4,14,2,6,11,0.070068,0,2
"A","4.6_ref",13,"107108",4,17,8,11,6,0.076297,0.154909,3
"A","4.6_ref",13,"109110",4,7,8,11,7,0.102516,0.071645,6
"A","4.6_ref",13,"119120",4,16,13,15,12,0.10047,0.090069,7
"A","4.6_ref",13,"121122",4,4,2,7,5,0,0.008205,1
"A","4.6_ref",13,"123124",4,8,5,6,8,0.008711,0.08397,3
"A","4.6_ref",13,"131132",4,6,10,8,8,0.089751,0.210811,1
"A","4.6_ref",13,"135136",4,9,3,15,5,0.124418,0.025163,1
"A","4.6_ref",13,"141142",4,17,1,11,12,0.134492,0.038493,2
"A","4.6_ref",13,"143144",4,4,4,9,2,0.080511,0.121283,1
"A","4.6_ref",13,"145146",4,19,7,14,4,0.178236,0.12359,3
"A","4.8_ref",7,"003004",4,34,13,24,14,0.137971,0.128854,5
"A","4.8_ref",7,"005006",4,13,7,16,7,0.054031,0.067671,3
"A","4.8_ref",7,"007008",4,12,2,14,5,0.037569,0,3
"A","4.8_ref",7,"009010",4,15,6,16,17,0.043345,0.077502,1
"A","4.8_ref",7,"013014",4,10,3,5,13,0.11364,0.110094,1
